,Country,Region,iso_a3,wh_score,gdi,gii,efs,pdn,year,region_5,region_14,region_12,region_8,region_9,region_2,region_11,region_13,region_10,region_7,region_1,region_3,region_4,region_6
75,Mali,Sub-Saharan Africa,MLI,4.072999954223634,0.8079999999999999,0.6779999999999999,56.39905289735485,14.291854547242599,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,Malta,Southern Europe,MLT,6.48799991607666,0.9620000000000001,0.19699999999999998,66.48782856323805,1390.790625,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,Mauritania,Sub-Saharan Africa,MRT,4.201000213623047,0.84,0.625,53.32305382673599,3.92577956728437,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,Mauritius,Sub-Saharan Africa,MUS,5.6479997634887695,0.966,0.379,76.35276356449094,621.972906403941,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,Mexico,Latin America and the Caribbean,MEX,6.777999877929688,0.956,0.35200000000000004,66.43110707119546,62.6859013863525,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,Moldova,Eastern Europe,MDA,5.896999835968018,1.011,0.24,57.51278128509472,123.806319016268,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,Mongolia,Eastern Asia,MNG,4.9070000648498535,1.03,0.321,59.23528090911154,1.93004389917351,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,Montenegro,Southern Europe,MNE,5.160999774932861,0.966,0.159,64.74030472901964,46.257174721189614,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,Morocco,Northern Africa,MAR,5.151000022888184,0.823,0.504,60.123242825636645,77.6688393457316,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Namibia,Sub-Saharan Africa,NAM,4.573999881744385,1.001,0.47700000000000004,59.63380457851265,2.81177227951269,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,Nepal,Southern Asia,NPL,4.793000221252441,0.892,0.499,51.285007298923645,188.455047087548,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,Netherlands,Western Europe,NLD,7.339000225067139,0.966,0.048,73.69710099108495,502.81754229741796,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,New Zealand,Australia and New Zealand,NZL,7.334000110626222,0.961,0.156,82.06730709954998,17.4535718354791,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Nicaragua,Latin America and the Caribbean,NIC,5.992000102996826,1.0070000000000001,0.469,57.589746706536204,51.713810869203904,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,Niger,Sub-Saharan Africa,NER,3.8559999465942383,0.27,0.667,54.620701772387505,15.790371042867301,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,Norway,Northern Europe,NOR,7.498000144958496,0.993,0.054000000000000006,71.81841294647222,14.2105725713798,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,Pakistan,Southern Asia,PAK,5.131999969482422,0.741,0.551,55.620970063097715,258.700399543379,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,Panama,Latin America and the Caribbean,PAN,6.701000213623048,1.004,0.467,64.10180605307013,53.3829297820823,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,Paraguay,Latin America and the Caribbean,PRY,5.538000106811523,0.966,0.48200000000000004,61.11801005386445,16.8355046564309,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,Peru,Latin America and the Caribbean,PER,5.743000030517577,0.9440000000000001,0.402,67.7141898650076,23.8052609375,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,Philippines,South-eastern Asia,PHL,5.27899980545044,1.002,0.43,62.199787478689395,342.46641848609903,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,Poland,Eastern Europe,POL,5.835000038146973,1.008,0.142,68.61430377509353,124.061569613639,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,Portugal,Southern Europe,PRT,5.123000144958496,0.9840000000000001,0.099,65.3194369864611,113.07252488776301,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
